commenter_slug,author_slug,comment_count
nandiitaa,barryflanagan,26
renemadden,barryflanagan,26
jorgecalzada,melisabuie,26
maryam-jan-akbari,priscila-pree-silva,26
peterweiss-shinkaizen,melisabuie,26
ionaholloway,karen-stone-performancehabits,26
donnetta-kay,karen-stone-performancehabits,26
ashleymunday0,marcellabremer,26
ebonybeckwith,marcellabremer,26
renemadden,ashleymunday0,26
tiffanymasson,ashleymunday0,26
sineadmodonovan,ashleymunday0,26
maryam-jan-akbari,mariasabio,26
donnetta-kay,mariasabio,26
ashleymunday0,ebonybeckwith,26
shivaniberry,ebonybeckwith,26
chrislangsocial,coryblumenfeld,26
mohammed-kasujee,kristaps-kazaks,26
steveabramson,jerryvalerio,26
chrismurphyhq,renemadden,26
karen-stone-performancehabits,mitapatel1,26
renemadden,mitapatel1,26
mitapatel1,tiffanymasson,26
barryflanagan,tiffanymasson,26
yauhanmehta,yauhanmehta,26
michaelrfranco,charomero,26
sanjivberi,sliwowskik,26
embracefulfillment,sliwowskik,26
donnetta-kay,rupalyadav999,25
captshawnsequeira,rupalyadav999,25
tiffanymasson,nandiitaa,25
maryam-jan-akbari,nandiitaa,25
dianekucala,jorgecalzada,25
nandiitaa,diannewblack,25
nandiitaa,maryam-jan-akbari,25
embracefulfillment,maryam-jan-akbari,25
renemadden,sara-a-riedel,25
nandiitaa,sara-a-riedel,25
ashleymunday0,lingabson,25
ionaholloway,lingabson,25
yauhanmehta,lingabson,25
sineadmodonovan,dartarieks,25
ionaholloway,alliestories8,25
renemadden,dartarieks,25
alex-de-jong,michaela-daly-fcca,25
sergeikrasulya,thomasallanjones,25
mariaee,sineadmodonovan,25
jorgecalzada,thomasallanjones,25
ionaholloway,victortrieu,25
karen-stone-performancehabits,victortrieu,25
arielcohen-aigrowth,victortrieu,25
sergeikrasulya,hasansajid,25
maryam-jan-akbari,barryflanagan,25
kishore-kumar-founder-and-ceo-of-ak-mindset-8a481b213,melisabuie,25
barryflanagan,melisabuie,25
sara-a-riedel,priscila-pree-silva,25
karen-stone-performancehabits,ionaholloway,25
michellemaldonado,karen-stone-performancehabits,25
renemadden,sanjivberi,25
mitapatel1,ashleymunday0,25
diannewblack,ashleymunday0,25
chris-godfredsen-2459012b2,mariasabio,25
karirusso,ebonybeckwith,25
maryam-jan-akbari,bridgett-strickler,25
mariaee,kristaps-kazaks,25
embracefulfillment,kristaps-kazaks,25
nandiitaa,renemadden,25
arielcohen-aigrowth,mohammed-kasujee,25
raahul-seshadri,mitapatel1,25
sergeikrasulya,tiffanymasson,25
arielcohen-aigrowth,tiffanymasson,25
joyadass,dradeelkhan-md,25
brandallwillis,dradeelkhan-md,25
jorgecalzada,sliwowskik,25
nandiitaa,rupalyadav999,24
sara-a-riedel,geezulkifli,24
karen-stone-performancehabits,nandiitaa,24
alliestories8,jorgecalzada,24
dianekucala,diannewblack,24
renemadden,maryam-jan-akbari,24
patrickcattin,sara-a-riedel,24
geezulkifli,lingabson,24
dianekucala,mariaee,24
lynnetlevy,alliestories8,24
karen-stone-performancehabits,alliestories8,24
yauhanmehta,alliestories8,24
patrickcattin,alliestories8,24
lingabson,mariaee,24
mariaee,alliestories8,24
michellemaldonado,alliestories8,24
maryam-jan-akbari,mariaee,24
sergeikrasulya,michellemaldonado,24
ionaholloway,michellemaldonado,24
hannahrobertscoaching,sineadmodonovan,24
raahul-seshadri,thomasallanjones,24
ionaholloway,sineadmodonovan,24
lingabson,sineadmodonovan,24
muhammad-ehsan-b4a1201a3,dianbasit,24
mohammed-kasujee,victortrieu,24
nandiitaa,victortrieu,24
donnellychris,victortrieu,24
diannewblack,victortrieu,24
sergeikrasulya,barryflanagan,24
ashleymunday0,melisabuie,24
maryam-jan-akbari,melisabuie,24
sara-a-riedel,barryflanagan,24
mariasabio,melisabuie,24
lingabson,ionaholloway,24
swatibrandstrategist,melisabuie,24
mohammed-kasujee,karen-stone-performancehabits,24
dianekucala,karen-stone-performancehabits,24
mariaee,karen-stone-performancehabits,24
karen-stone-performancehabits,karen-stone-performancehabits,24
sineadmodonovan,marcellabremer,24
patrickcattin,marcellabremer,24
lingabson,karen-stone-performancehabits,24
jeremiah-teo-charisma-business-coach,marcellabremer,24
chris-godfredsen-2459012b2,ashleymunday0,24
donnetta-kay,ebonybeckwith,24
minudatta,ebonybeckwith,24
steveabramson,bridgett-strickler,24
jeremiah-teo-charisma-business-coach,bridgett-strickler,24
sandygrigsby,gabriella-cacciatore-b3912224,24
maryam-jan-akbari,kristaps-kazaks,24
chrismurphyhq,mahaalaoui,24
